Source,Target
CTU,CAN
CTU,CGO
CTU,CSX
CTU,DSN
CTU,HAK
CTU,HDG
CTU,HET
CTU,HFE
CTU,HGH
CTU,HKG
CTU,HKT
CTU,ICN
CTU,INC
CTU,JHG
CTU,JZH
CTU,KHN
CTU,KMG
CTU,KOW
CTU,KWE
CTU,KWL
CTU,LHW
CTU,LJG
CTU,LUM
CTU,LXA
CTU,MEL
CTU,MLE
CTU,NKG
CTU,NNG
CTU,PEK
CTU,PVG
CTU,PZI
CTU,SHE
CTU,SJW
CTU,SYX
CTU,SZX
CTU,TAO
CTU,TNA
CTU,TSA
CTU,TSN
CTU,TYN
CTU,URC
CTU,WNZ
CTU,WUH
CTU,WUX
CTU,WXN
CTU,XIC
CTU,XIY
CTU,XMN
CTU,XNN
CTU,XUZ
CTU,YIH
CTU,YTY
CTU,ZHY
CTU,KMG
CTU,LJG
CTU,TCZ
CTU,TSN
CTU,SHA
CTU,SJW
CTU,TSN
CTU,TPE
CTU,BLR
CTU,BOM
CTU,BPX
CTU,CAN
CTU,CGO
CTU,CGQ
CTU,CIH
CTU,CSX
CTU,CZX
CTU,DLC
CTU,DYG
CTU,FOC
CTU,FRA
CTU,HAK
CTU,HET
CTU,HFE
CTU,HGH
CTU,HKG
CTU,HRB
CTU,ICN
CTU,INC
CTU,JDZ
CTU,JZH
CTU,KHI
CTU,KHN
CTU,KMG
CTU,KRL
CTU,KTM
CTU,KWE
CTU,KWL
CTU,LHW
CTU,LJG
CTU,LXA
CTU,LZY
CTU,MFM
CTU,NGB
CTU,NKG
CTU,NNG
CTU,NRT
CTU,PEK
CTU,PVG
CTU,PZI
CTU,RKZ
CTU,SHE
CTU,SIN
CTU,SWA
CTU,SYX
CTU,SZX
CTU,TAO
CTU,TNA
CTU,TPE
CTU,TSN
CTU,TYN
CTU,URC
CTU,WNZ
CTU,WUH
CTU,WUX
CTU,XIC
CTU,XIY
CTU,XMN
CTU,XNN
CTU,YCU
CTU,YIW
CTU,YNT
CTU,ZHA
CTU,ZUH
CTU,TPE
CTU,HKG
CTU,AMS
CTU,BAV
CTU,CAN
CTU,CGO
CTU,CSX
CTU,DLC
CTU,HGH
CTU,KMG
CTU,KWE
CTU,KWL
CTU,NNY
CTU,PEK
CTU,SWA
CTU,SZX
CTU,TAO
CTU,TNA
CTU,URC
CTU,WUH
CTU,XIY
CTU,YNT
CTU,KUL
CTU,BHY
CTU,CAN
CTU,CSX
CTU,HGH
CTU,JGS
CTU,JHG
CTU,JNG
CTU,JZH
CTU,KMG
CTU,KWE
CTU,LJG
CTU,LYG
CTU,LZH
CTU,NKG
CTU,PVG
CTU,SYX
CTU,SZX
CTU,TSN
CTU,WNZ
CTU,WUH
CTU,XIY
CTU,AUH
CTU,KHH
CTU,SHA
CTU,TXN
CTU,SHA
CTU,AUH
CTU,CSX
CTU,HAK
CTU,LHW
CTU,PEK
CTU,SZX
CTU,URC
CTU,XIY
CTU,HKG
CTU,CAN
CTU,LJG
CTU,SYX
CTU,HKG
CTU,AMS
CTU,KWL
CTU,XIY
CTU,NAY
CTU,SJW
CTU,KMG
CTU,LJG
CTU,FRA
CTU,CSX
CTU,FOC
CTU,HGH
CTU,WUH
CTU,XMN
CTU,SIN
CTU,BKI
CTU,CNX
CTU,CZX
CTU,DIG
CTU,DLU
CTU,HFE
CTU,HGH
CTU,HKT
CTU,JZH
CTU,KGT
CTU,KMG
CTU,LHW
CTU,LJG
CTU,LXA
CTU,NGB
CTU,NKG
CTU,PVG
CTU,REP
CTU,SHA
CTU,SYX
CTU,SZX
CTU,TAO
CTU,TNA
CTU,TXN
CTU,TYN
CTU,WUH
CTU,WUX
CTU,XFN
CTU,XIY
CTU,NRT
CTU,PEK
CTU,PVG
CTU,SJW
CTU,MFM
CTU,ICN
CTU,JDZ
CTU,KWL
CTU,TAO
CTU,TNA
CTU,SIN
CTU,BKK
CTU,HKG
CTU,DAD
CTU,HAN
CTU,BPX
CTU,CAN
CTU,CGO
CTU,CGQ
CTU,CIH
CTU,CSX
CTU,CZX
CTU,DLC
CTU,DYG
CTU,FOC
CTU,HAK
CTU,HET
CTU,HFE
CTU,HGH
CTU,HRB
CTU,INC
CTU,JZH
CTU,KHN
CTU,KMG
CTU,KRL
CTU,KWE
CTU,KWL
CTU,LHW
CTU,LJG
CTU,LXA
CTU,LZY
CTU,NGB
CTU,NKG
CTU,NNG
CTU,PEK
CTU,PVG
CTU,RKZ
CTU,SHE
CTU,SWA
CTU,SYX
CTU,SZX
CTU,TAO
CTU,TNA
CTU,TSN
CTU,TYN
CTU,URC
CTU,WNZ
CTU,WUH
CTU,WUX
CTU,XIC
CTU,XIY
CTU,XMN
CTU,XNN
CTU,YCU
CTU,YIW
CTU,ZHA
CTU,ZUH
